W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
2.115,0.2,-0.685112839,0.0831,0.0084,0.122337157,0.012366211,CLAS phi
2.115,0.3,-0.617185807,0.1077,0.0094,0.158552488,0.013838379,CLAS phi
2.125,0.37,-0.580969581,0.1084,0.0121,0.153468118,0.017130666,CLAS phi
2.125,0.42,-0.5456528,0.1399,0.0145,0.198064481,0.020528484,CLAS phi
2.125,0.47,-0.510336018,0.1655,0.0158,0.234307874,0.022368969,CLAS phi
2.125,0.53,-0.46795588,0.189,0.0164,0.267578177,0.023218424,CLAS phi
2.125,0.57,-0.439702455,0.2359,0.0187,0.333977206,0.026474666,CLAS phi
2.125,0.62,-0.404385673,0.2112,0.0178,0.299007994,0.025200484,CLAS phi
2.125,0.67,-0.369068892,0.3073,0.0239,0.435062294,0.033836605,CLAS phi
2.125,0.72,-0.33375211,0.3231,0.0238,0.457431264,0.03369503,CLAS phi
2.125,0.78,-0.291371973,0.3533,0.0273,0.500187142,0.038650181,CLAS phi
2.125,0.82,-0.263118547,0.4817,0.0348,0.681970411,0.049268363,CLAS phi
2.125,0.88,-0.22073841,0.5215,0.0382,0.738317561,0.054081938,CLAS phi
2.125,0.93,-0.185421628,0.7199,0.0571,1.019203859,0.080839756,CLAS phi
2.125,-0.78,-1.393255556,0.0405,0.0126,0.057338181,0.017838545,CLAS phi
2.125,-0.7,-1.336748706,0.0354,0.0074,0.050117817,0.010476606,CLAS phi
2.125,-0.6,-1.266115143,0.0665,0.0094,0.094147877,0.013308121,CLAS phi
2.125,-0.5,-1.19548158,0.0499,0.008,0.070646302,0.01132606,CLAS phi
2.125,-0.4,-1.124848016,0.0545,0.0078,0.077158786,0.011042909,CLAS phi
2.125,-0.3,-1.054214453,0.0523,0.007,0.07404412,0.009910303,CLAS phi
2.125,-0.2,-0.98358089,0.0556,0.0068,0.07871612,0.009627151,CLAS phi
2.125,-0.1,-0.912947327,0.0687,0.0074,0.097262544,0.010476606,CLAS phi
2.125,0,-0.842313764,0.0655,0.0073,0.092732119,0.01033503,CLAS phi
2.125,0.1,-0.771680201,0.0667,0.007,0.094431028,0.009910303,CLAS phi
2.125,0.2,-0.701046638,0.0805,0.0077,0.113968483,0.010901333,CLAS phi
2.125,0.3,-0.630413075,0.098,0.0083,0.13874424,0.011750788,CLAS phi
2.135,0.37,-0.592504287,0.136,0.0138,0.185508594,0.018823666,CLAS phi
2.135,0.42,-0.555848303,0.1419,0.0137,0.193556394,0.018687263,CLAS phi
2.135,0.47,-0.51919232,0.1557,0.0143,0.21238006,0.019505683,CLAS phi
2.135,0.53,-0.475205139,0.1648,0.0142,0.224792767,0.01936928,CLAS phi
2.135,0.57,-0.445880352,0.2079,0.0166,0.283582623,0.022642961,CLAS phi
2.135,0.62,-0.409224369,0.2258,0.0181,0.307998828,0.024689011,CLAS phi
2.135,0.67,-0.372568385,0.2555,0.0203,0.348510631,0.027689886,CLAS phi
2.135,0.72,-0.335912401,0.3249,0.0249,0.443174576,0.033964441,CLAS phi
2.135,0.78,-0.291925221,0.3691,0.0277,0.503464869,0.037783736,CLAS phi
2.135,0.82,-0.262600434,0.3999,0.0308,0.545477109,0.04201224,CLAS phi
2.135,0.88,-0.218613254,0.5452,0.0397,0.743671218,0.054152141,CLAS phi
2.135,-0.78,-1.435591911,0.0355,0.0117,0.048423199,0.015959195,CLAS phi
2.135,-0.7,-1.376942337,0.0418,0.0081,0.057016612,0.011048674,CLAS phi
2.135,-0.6,-1.30363037,0.0529,0.0087,0.072157387,0.011867094,CLAS phi
2.135,-0.5,-1.230318403,0.055,0.0082,0.075021858,0.011185077,CLAS phi
2.135,-0.4,-1.157006435,0.067,0.0087,0.091390263,0.011867094,CLAS phi
2.135,-0.3,-1.083694468,0.0634,0.0076,0.086479742,0.010366657,CLAS phi
2.135,-0.2,-1.010382501,0.0505,0.0065,0.068883706,0.00886622,CLAS phi
2.135,-0.1,-0.937070533,0.0679,0.0072,0.092617894,0.009821043,CLAS phi
2.135,0,-0.863758566,0.0729,0.0077,0.099438063,0.01050306,CLAS phi
2.135,0.1,-0.790446599,0.0747,0.0074,0.101893323,0.01009385,CLAS phi
2.135,0.2,-0.717134631,0.0858,0.0074,0.117034098,0.01009385,CLAS phi
2.135,0.3,-0.643822664,0.1145,0.0084,0.156181868,0.011457884,CLAS phi
2.145,0.37,-0.60422682,0.1084,0.0124,0.14269525,0.016323073,CLAS phi
2.145,0.42,-0.566243776,0.1473,0.0149,0.19390231,0.019614015,CLAS phi
2.145,0.47,-0.528260732,0.1611,0.0149,0.21206831,0.019614015,CLAS phi
2.145,0.53,-0.482681079,0.1664,0.0157,0.219045107,0.020667117,CLAS phi
2.145,0.57,-0.452294643,0.2126,0.0181,0.279861718,0.023826421,CLAS phi
2.145,0.62,-0.414311599,0.2834,0.0223,0.373061199,0.029355204,CLAS phi
2.145,0.67,-0.376328555,0.3072,0.0226,0.404390968,0.029750117,CLAS phi
2.145,0.72,-0.338345511,0.3522,0.0263,0.463627926,0.034620711,CLAS phi
2.145,0.78,-0.292765858,0.4289,0.0297,0.56459403,0.039096392,CLAS phi
2.145,0.82,-0.262379422,0.5697,0.0404,0.74993989,0.053181625,CLAS phi
2.145,0.88,-0.216799769,0.5769,0.0428,0.759417803,0.056340929,CLAS phi
2.145,0.93,-0.178816725,0.8563,0.0765,1.127213495,0.100702829,CLAS phi
2.145,-0.79,-1.485433446,0.0414,0.0124,0.054498001,0.016323073,CLAS phi
2.145,-0.7,-1.417063966,0.05,0.0089,0.065818842,0.011715754,CLAS phi
2.145,-0.6,-1.341097878,0.0346,0.0067,0.045546639,0.008819725,CLAS phi
2.145,-0.5,-1.265131789,0.0482,0.008,0.063449364,0.010531015,CLAS phi
2.145,-0.4,-1.189165701,0.0583,0.0084,0.07674477,0.011057566,CLAS phi
2.145,-0.3,-1.113199613,0.0556,0.0079,0.073190553,0.010399377,CLAS phi
2.145,-0.2,-1.037233524,0.064,0.0078,0.084248118,0.010267739,CLAS phi
2.145,-0.1,-0.961267436,0.0573,0.0072,0.075428393,0.009477913,CLAS phi
2.145,0,-0.885301347,0.0594,0.0067,0.078192785,0.008819725,CLAS phi
2.145,0.1,-0.809335259,0.069,0.0071,0.090830002,0.009346276,CLAS phi
2.145,0.2,-0.733369171,0.082,0.0072,0.107942902,0.009477913,CLAS phi
2.145,0.3,-0.657403082,0.102,0.0082,0.134270438,0.01079429,CLAS phi
2.155,0.37,-0.616124999,0.1362,0.0133,0.173284143,0.016921286,CLAS phi
2.155,0.42,-0.576825385,0.1568,0.015,0.199493052,0.019084157,CLAS phi
2.155,0.47,-0.537525771,0.2037,0.0166,0.259162849,0.0211198,CLAS phi
2.155,0.53,-0.490366234,0.2025,0.0165,0.257636116,0.020992572,CLAS phi
2.155,0.57,-0.458926542,0.2132,0.0179,0.271249481,0.02277376,CLAS phi
2.155,0.62,-0.419626928,0.2738,0.0219,0.348349474,0.027862869,CLAS phi
2.155,0.67,-0.380327313,0.3182,0.0243,0.404838578,0.030916334,CLAS phi
2.155,0.72,-0.341027699,0.3452,0.0251,0.439190061,0.031934156,CLAS phi
2.155,0.78,-0.293868162,0.4117,0.0276,0.523796489,0.035114848,CLAS phi
2.155,0.82,-0.26242847,0.5594,0.0361,0.711711819,0.045929204,CLAS phi
2.155,0.88,-0.215268933,0.8218,0.0533,1.045557334,0.06781237,CLAS phi
2.155,0.93,-0.175969319,0.8919,0.0845,1.13474396,0.107507416,CLAS phi
2.155,-0.79,-1.527876052,0.0283,0.0172,0.036005442,0.021883166,CLAS phi
2.155,-0.7,-1.457136746,0.0363,0.0072,0.046183659,0.009160395,CLAS phi
2.155,-0.6,-1.378537518,0.0485,0.0077,0.06170544,0.009796534,CLAS phi
2.155,-0.5,-1.299938289,0.0633,0.0087,0.080535141,0.011068811,CLAS phi
2.155,-0.4,-1.22133906,0.0743,0.0089,0.09453019,0.011323266,CLAS phi
2.155,-0.3,-1.142739832,0.0539,0.0072,0.068575737,0.009160395,CLAS phi
2.155,-0.2,-1.064140603,0.0525,0.0068,0.066794549,0.008651484,CLAS phi
2.155,-0.1,-0.985541374,0.0559,0.0067,0.071120291,0.008524257,CLAS phi
2.155,0,-0.906942146,0.0621,0.0069,0.079008409,0.008778712,CLAS phi
2.155,0.1,-0.828342917,0.0677,0.0067,0.086133161,0.008524257,CLAS phi
2.155,0.2,-0.749743688,0.0831,0.0073,0.105726228,0.009287623,CLAS phi
2.155,0.3,-0.67114446,0.1023,0.0081,0.130153949,0.010305445,CLAS phi
2.165,0.37,-0.628188283,0.1304,0.0134,0.160562961,0.016499568,CLAS phi
2.165,0.42,-0.587581159,0.1431,0.0129,0.176200611,0.015883913,CLAS phi
2.165,0.47,-0.546974035,0.1499,0.0136,0.184573526,0.01674583,CLAS phi
2.165,0.53,-0.498245487,0.199,0.0157,0.245030899,0.019331583,CLAS phi
2.165,0.57,-0.465759788,0.244,0.0176,0.300439896,0.021671074,CLAS phi
2.165,0.62,-0.425152665,0.2457,0.029,0.302533125,0.03570802,CLAS phi
2.165,0.67,-0.384545541,0.2991,0.0199,0.368285135,0.02450309,CLAS phi
2.165,0.72,-0.343938418,0.3736,0.0248,0.460017808,0.030536514,CLAS phi
2.165,0.78,-0.295209869,0.4271,0.0269,0.52589295,0.033122267,CLAS phi
2.165,0.82,-0.26272417,0.5267,0.0339,0.64853153,0.041741445,CLAS phi
2.165,0.88,-0.213995622,0.7104,0.0462,0.87472337,0.056886571,CLAS phi
2.165,-0.79,-1.57027355,0.0234,0.008,0.028812679,0.009850488,CLAS phi
2.165,-0.7,-1.497180728,0.0303,0.0067,0.037308725,0.008249784,CLAS phi
2.165,-0.6,-1.41596648,0.042,0.0074,0.051715064,0.009111702,CLAS phi
2.165,-0.5,-1.334752233,0.0429,0.007,0.052823244,0.008619177,CLAS phi
2.165,-0.4,-1.253537986,0.0408,0.0061,0.050237491,0.007510997,CLAS phi
2.165,-0.3,-1.172323739,0.053,0.0067,0.065259486,0.008249784,CLAS phi
2.165,-0.2,-1.091109492,0.0613,0.007,0.075479367,0.008619177,CLAS phi
2.165,-0.1,-1.009895244,0.0708,0.0073,0.087176822,0.008988571,CLAS phi
2.165,0,-0.928680997,0.0662,0.0065,0.081512792,0.008003522,CLAS phi
2.165,0.1,-0.84746675,0.0739,0.0065,0.090993887,0.008003522,CLAS phi
2.165,0.2,-0.766252503,0.0797,0.0063,0.098135491,0.00775726,CLAS phi
2.165,0.3,-0.685038256,0.1037,0.0075,0.127686956,0.009234833,CLAS phi
2.175,0.37,-0.640407484,0.11,0.0107,0.13124356,0.012766419,CLAS phi
2.175,0.42,-0.598500666,0.1205,0.0109,0.143771354,0.013005044,CLAS phi
2.175,0.47,-0.556593848,0.1553,0.0124,0.185292044,0.014794729,CLAS phi
2.175,0.53,-0.506305666,0.189,0.015,0.225500299,0.017896849,CLAS phi
2.175,0.57,-0.472780212,0.2083,0.0159,0.248527578,0.01897066,CLAS phi
2.175,0.62,-0.430873394,0.2393,0.0167,0.285514399,0.019925159,CLAS phi
2.175,0.67,-0.388966576,0.2854,0.02,0.340517382,0.023862465,CLAS phi
2.175,0.72,-0.347059758,0.32,0.0207,0.381799448,0.024697652,CLAS phi
2.175,0.78,-0.296771576,0.4265,0.0267,0.508867076,0.031856391,CLAS phi
2.175,0.82,-0.263246121,0.5285,0.0354,0.63056565,0.042236564,CLAS phi
2.175,0.88,-0.21295794,0.7227,0.0473,0.86227019,0.056434731,CLAS phi
2.175,-0.79,-1.612645664,0.0364,0.0096,0.043429687,0.011453983,CLAS phi
2.175,-0.7,-1.537213391,0.0366,0.007,0.043668312,0.008351863,CLAS phi
2.175,-0.6,-1.453399755,0.0404,0.0066,0.04820218,0.007874614,CLAS phi
2.175,-0.5,-1.369586119,0.0482,0.0068,0.057508542,0.008113238,CLAS phi
2.175,-0.4,-1.285772483,0.041,0.0057,0.048918054,0.006800803,CLAS phi
2.175,-0.3,-1.201958847,0.0533,0.0065,0.06359347,0.007755301,CLAS phi
2.175,-0.2,-1.118145211,0.0564,0.0063,0.067292153,0.007516677,CLAS phi
2.175,-0.1,-1.034331574,0.0593,0.0061,0.07075221,0.007278052,CLAS phi
2.175,0,-0.950517938,0.0516,0.0053,0.061565161,0.006323553,CLAS phi
2.175,0.1,-0.866704302,0.0627,0.0056,0.074808829,0.00668149,CLAS phi
2.175,0.2,-0.782890666,0.0842,0.0064,0.10046098,0.007635989,CLAS phi
2.175,0.3,-0.69907703,0.0897,0.0066,0.107023158,0.007874614,CLAS phi
2.185,0.37,-0.652774552,0.1336,0.0117,0.154630379,0.013541732,CLAS phi
2.185,0.42,-0.609574761,0.1423,0.0121,0.164699872,0.014004697,CLAS phi
2.185,0.47,-0.56637497,0.1449,0.0122,0.167709146,0.014120439,CLAS phi
2.185,0.53,-0.514535221,0.1972,0.0142,0.228241846,0.016435265,CLAS phi
2.185,0.57,-0.479975389,0.2143,0.0158,0.248033609,0.018287126,CLAS phi
2.185,0.62,-0.436775598,0.2889,0.0194,0.33437662,0.022453812,CLAS phi
2.185,0.67,-0.393575807,0.3154,0.0206,0.365048065,0.023842708,CLAS phi
2.185,0.72,-0.350376016,0.4061,0.0247,0.470025425,0.028588101,CLAS phi
2.185,0.78,-0.298536268,0.4251,0.0287,0.492016272,0.033217753,CLAS phi
2.185,0.82,-0.263976435,0.5497,0.0375,0.636229934,0.043402988,CLAS phi
2.185,0.88,-0.212136686,0.6875,0.0509,0.795721447,0.058912322,CLAS phi
2.185,0.93,-0.168936895,1.0472,0.1739,1.212042908,0.201274123,CLAS phi
2.185,-0.79,-1.655009697,0.0232,0.0082,0.026851982,0.009490787,CLAS phi
2.185,-0.7,-1.577250074,0.0323,0.0065,0.03738444,0.007523185,CLAS phi
2.185,-0.6,-1.490850492,0.0352,0.0063,0.040740938,0.007291702,CLAS phi
2.185,-0.5,-1.404450911,0.0485,0.0068,0.056134531,0.007870408,CLAS phi
2.185,-0.4,-1.318051329,0.0487,0.0064,0.056366014,0.007407443,CLAS phi
2.185,-0.3,-1.231651748,0.0582,0.0064,0.067361437,0.007407443,CLAS phi
2.185,-0.2,-1.145252166,0.055,0.0061,0.063657716,0.007060219,CLAS phi
2.185,-0.1,-1.058852585,0.0547,0.0057,0.063310492,0.006597254,CLAS phi
2.185,0,-0.972453003,0.0625,0.0058,0.072338313,0.006712995,CLAS phi
2.185,0.1,-0.886053422,0.0644,0.0056,0.074537398,0.006481513,CLAS phi
2.185,0.2,-0.79965384,0.0774,0.0058,0.089583767,0.006712995,CLAS phi
2.185,0.3,-0.713254259,0.1063,0.007,0.123033003,0.008101891,CLAS phi
2.195,0.37,-0.665282386,0.1344,0.0125,0.151055346,0.014049046,CLAS phi
2.195,0.42,-0.620795381,0.1493,0.013,0.167801809,0.014611008,CLAS phi
2.195,0.47,-0.576308375,0.1807,0.0155,0.203093014,0.017420817,CLAS phi
2.195,0.53,-0.522923969,0.2144,0.0173,0.240969242,0.01944388,CLAS phi
2.195,0.57,-0.487334364,0.2561,0.0187,0.287836861,0.021017373,CLAS phi
2.195,0.62,-0.442847359,0.3035,0.0215,0.341110845,0.02416436,CLAS phi
2.195,0.67,-0.398360353,0.3785,0.026,0.425405122,0.029222016,CLAS phi
2.195,0.72,-0.353873348,0.3974,0.0261,0.44664728,0.029334409,CLAS phi
2.195,0.78,-0.300488941,0.471,0.0322,0.529368065,0.036190343,CLAS phi
2.195,0.82,-0.264899337,0.5835,0.0425,0.655809482,0.047766757,CLAS phi
2.195,0.88,-0.211514931,0.7165,0.0556,0.805291335,0.062490158,CLAS phi
2.195,0.93,-0.167027925,0.9644,0.1457,1.083912021,0.163755684,CLAS phi
2.195,-0.8,-1.706278314,0.0187,0.013,0.021017373,0.014611008,CLAS phi
2.195,-0.7,-1.617304303,0.0369,0.0083,0.041472785,0.009328567,CLAS phi
2.195,-0.6,-1.528330292,0.039,0.0073,0.043833025,0.008204643,CLAS phi
2.195,-0.5,-1.439356281,0.0456,0.0074,0.051250921,0.008317035,CLAS phi
2.195,-0.4,-1.35038227,0.0484,0.0068,0.054397907,0.007642681,CLAS phi
2.195,-0.3,-1.261408259,0.0561,0.0067,0.06305212,0.007530289,CLAS phi
2.195,-0.2,-1.172434248,0.045,0.0058,0.050576567,0.006518757,CLAS phi
2.195,-0.1,-1.083460237,0.0537,0.006,0.060354703,0.006743542,CLAS phi
2.195,0,-0.994486226,0.056,0.0058,0.062939727,0.006518757,CLAS phi
2.195,0.1,-0.905512216,0.0661,0.0061,0.074291357,0.006855935,CLAS phi
2.195,0.2,-0.816538205,0.0904,0.0067,0.101602703,0.007530289,CLAS phi
2.195,0.3,-0.727564194,0.1091,0.0079,0.122620076,0.008878997,CLAS phi
2.205,0.37,-0.677924698,0.1586,0.0131,0.173260179,0.014310898,CLAS phi
2.205,0.42,-0.632155381,0.1816,0.0139,0.198386182,0.015184845,CLAS phi
2.205,0.47,-0.586386065,0.1921,0.0157,0.209856749,0.017151228,CLAS phi
2.205,0.53,-0.531462885,0.2216,0.0173,0.242083579,0.018899124,CLAS phi
2.205,0.57,-0.494847431,0.2738,0.0205,0.299108682,0.022394916,CLAS phi
2.205,0.62,-0.449078115,0.309,0.022,0.337562392,0.024033568,CLAS phi
2.205,0.67,-0.403308798,0.3525,0.0242,0.385083311,0.026436925,CLAS phi
2.205,0.72,-0.357539482,0.4324,0.0304,0.472368862,0.033210022,CLAS phi
2.205,0.78,-0.302616302,0.5058,0.0364,0.552553585,0.039764631,CLAS phi
2.205,0.82,-0.266000848,0.6148,0.0463,0.671628992,0.050579737,CLAS phi
2.205,0.88,-0.211077668,0.6983,0.0593,0.762847308,0.064781391,CLAS phi
2.205,0.93,-0.165308352,1.0079,0.1464,1.101065161,0.159932473,CLAS phi
2.205,-0.79,-1.739772844,0.0341,0.0113,0.037252031,0.012344515,CLAS phi
2.205,-0.7,-1.657388074,0.0336,0.0073,0.036705813,0.007974775,CLAS phi
2.205,-0.6,-1.565849441,0.0466,0.0071,0.050907468,0.007756288,CLAS phi
2.205,-0.5,-1.474310808,0.0407,0.0066,0.044462101,0.007210071,CLAS phi
2.205,-0.4,-1.382772174,0.0499,0.007,0.054512503,0.007647044,CLAS phi
2.205,-0.3,-1.291233541,0.0611,0.0072,0.066747774,0.007865531,CLAS phi
2.205,-0.2,-1.199694908,0.0546,0.0064,0.059646947,0.006991584,CLAS phi
2.205,-0.1,-1.108156275,0.0599,0.0063,0.065436852,0.00688234,CLAS phi
2.205,0,-1.016617641,0.0616,0.0062,0.067293991,0.006773097,CLAS phi
2.205,0.1,-0.925079008,0.0762,0.0064,0.083243541,0.006991584,CLAS phi
2.205,0.2,-0.833540375,0.0901,0.0067,0.098428387,0.007319314,CLAS phi
2.205,0.3,-0.742001741,0.1219,0.0082,0.133167817,0.008957966,CLAS phi
2.215,0.37,-0.690695889,0.1211,0.0102,0.128699759,0.010840112,CLAS phi
2.215,0.42,-0.643648404,0.1537,0.0118,0.163345606,0.012540521,CLAS phi
2.215,0.47,-0.596600919,0.1841,0.0142,0.19565339,0.015091136,CLAS phi
2.215,0.53,-0.540143936,0.2176,0.0148,0.231255718,0.01572879,CLAS phi
2.215,0.57,-0.502505948,0.2486,0.0163,0.264201156,0.017322924,CLAS phi
2.215,0.62,-0.455458463,0.2886,0.0187,0.306711398,0.019873538,CLAS phi
2.215,0.67,-0.408410978,0.3444,0.0252,0.366013186,0.026781453,CLAS phi
2.215,0.72,-0.361363492,0.4424,0.0295,0.47016328,0.031351304,CLAS phi
2.215,0.78,-0.30490651,0.5116,0.0355,0.543705999,0.03772784,CLAS phi
2.215,0.82,-0.267268522,0.6161,0.0453,0.654764008,0.048142849,CLAS phi
2.215,0.88,-0.210811539,0.7987,0.0639,0.848823264,0.067910112,CLAS phi
2.215,0.92,-0.173173551,1.0739,0.1114,1.141293731,0.118391025,CLAS phi
2.215,-0.79,-1.782197547,0.0202,0.0065,0.021467672,0.006907914,CLAS phi
2.215,-0.7,-1.697512074,0.0338,0.0063,0.035921155,0.006695363,CLAS phi
2.215,-0.6,-1.603417103,0.0278,0.0052,0.029544618,0.005526332,CLAS phi
2.215,-0.5,-1.509322133,0.0372,0.0058,0.039534525,0.006163985,CLAS phi
2.215,-0.4,-1.415227162,0.0468,0.0059,0.049736984,0.006270261,CLAS phi
2.215,-0.3,-1.321132192,0.0406,0.0051,0.043147896,0.005420056,CLAS phi
2.215,-0.2,-1.227037221,0.043,0.005,0.045698511,0.00531378,CLAS phi
2.215,-0.1,-1.132942251,0.0502,0.0052,0.053350354,0.005526332,CLAS phi
2.215,0,-1.03884728,0.052,0.0048,0.055263315,0.005101229,CLAS phi
2.215,0.1,-0.94475231,0.0651,0.0051,0.069185419,0.005420056,CLAS phi
2.215,0.2,-0.850657339,0.0776,0.0056,0.08246987,0.005951434,CLAS phi
2.215,0.3,-0.756562369,0.103,0.0066,0.109463874,0.00701419,CLAS phi
2.225,0.37,-0.703590955,0.1271,0.0103,0.131513074,0.010657629,CLAS phi
2.225,0.42,-0.655268763,0.1378,0.0117,0.142584592,0.012106239,CLAS phi
2.225,0.47,-0.606946571,0.1866,0.0138,0.19307899,0.014279154,CLAS phi
2.225,0.53,-0.548959941,0.2156,0.0151,0.223085907,0.015624291,CLAS phi
2.225,0.57,-0.510302187,0.2683,0.0182,0.277615718,0.018831927,CLAS phi
2.225,0.62,-0.461979996,0.2687,0.0181,0.278029607,0.018728455,CLAS phi
2.225,0.67,-0.413657804,0.3094,0.0213,0.320142762,0.022039563,CLAS phi
2.225,0.72,-0.365335612,0.3789,0.0275,0.392055891,0.028454835,CLAS phi
2.225,0.78,-0.307348981,0.4709,0.0342,0.487250248,0.035387468,CLAS phi
2.225,0.82,-0.268691228,0.5594,0.0448,0.578823081,0.046355513,CLAS phi
2.225,0.88,-0.210704598,0.7191,0.0538,0.744068069,0.055668005,CLAS phi
2.225,0.93,-0.162382406,1.6558,0.4824,1.713291487,0.499149543,CLAS phi
2.225,-0.8,-1.834330246,0.0446,0.0121,0.046148569,0.012520127,CLAS phi
2.225,-0.7,-1.737685862,0.0373,0.0068,0.038595104,0.007036105,CLAS phi
2.225,-0.6,-1.641041478,0.0357,0.0057,0.03693955,0.005897911,CLAS phi
2.225,-0.5,-1.544397094,0.0371,0.0058,0.038388159,0.006001383,CLAS phi
2.225,-0.4,-1.44775271,0.0344,0.0051,0.035594412,0.005277079,CLAS phi
2.225,-0.3,-1.351108327,0.0485,0.0056,0.050183982,0.005794439,CLAS phi
2.225,-0.2,-1.254463943,0.0489,0.0053,0.05059787,0.005484023,CLAS phi
2.225,-0.1,-1.157819559,0.0518,0.005,0.053598562,0.005173606,CLAS phi
2.225,0,-1.061175175,0.0505,0.0047,0.052253424,0.00486319,CLAS phi
2.225,0.1,-0.964530791,0.063,0.005,0.06518744,0.005173606,CLAS phi
2.225,0.2,-0.867886408,0.0763,0.0056,0.078949233,0.005794439,CLAS phi
2.225,0.3,-0.771242024,0.11,0.0069,0.11381934,0.007139577,CLAS phi
2.235,0.37,-0.716605405,0.136,0.0106,0.137113229,0.010686766,CLAS phi
2.235,0.42,-0.667011357,0.1494,0.012,0.150622915,0.012098226,CLAS phi
2.235,0.47,-0.617417309,0.1747,0.0132,0.176130008,0.013308049,CLAS phi
2.235,0.53,-0.557904452,0.2175,0.0151,0.219280348,0.015223601,CLAS phi
2.235,0.57,-0.518229214,0.2551,0.0164,0.257188123,0.016534242,CLAS phi
2.235,0.62,-0.468635167,0.2823,0.0189,0.284610768,0.019054706,CLAS phi
2.235,0.67,-0.419041119,0.3936,0.0258,0.396821815,0.026011186,CLAS phi
2.235,0.72,-0.369447071,0.4099,0.029,0.413255239,0.02923738,CLAS phi
2.235,0.78,-0.309934214,0.4782,0.0354,0.482114309,0.035689767,CLAS phi
2.235,0.82,-0.270258976,0.5751,0.0408,0.579807484,0.041133969,CLAS phi
2.235,0.88,-0.210746119,0.7665,0.0536,0.77277419,0.054038743,CLAS phi
2.235,0.93,-0.161152071,0.8788,0.2556,0.885993423,0.257692215,CLAS phi
2.235,-0.8,-1.877106119,0.0201,0.0069,0.020264529,0.00695648,CLAS phi
2.235,-0.7,-1.777918024,0.037,0.0067,0.037302864,0.006754843,CLAS phi
2.235,-0.6,-1.678729929,0.0392,0.006,0.039520872,0.006049113,CLAS phi
2.235,-0.5,-1.579541833,0.0373,0.0056,0.037605319,0.005645839,CLAS phi
2.235,-0.4,-1.480353738,0.048,0.0059,0.048392904,0.005948294,CLAS phi
2.235,-0.3,-1.381165643,0.043,0.0052,0.043351977,0.005242565,CLAS phi
2.235,-0.2,-1.281977548,0.05,0.0053,0.050409275,0.005343383,CLAS phi
2.235,-0.1,-1.182789452,0.0463,0.0047,0.046678989,0.004738472,CLAS phi
2.235,0,-1.083601357,0.0512,0.0048,0.051619098,0.00483929,CLAS phi
2.235,0.1,-0.984413262,0.0611,0.005,0.061600134,0.005040928,CLAS phi
2.235,0.2,-0.885225167,0.0849,0.0059,0.085594949,0.005948294,CLAS phi
2.235,0.3,-0.786037071,0.1049,0.0065,0.10575866,0.006553206,CLAS phi
2.245,0.37,-0.729735193,0.1285,0.0114,0.126318224,0.011206442,CLAS phi
2.245,0.42,-0.67887159,0.1552,0.0126,0.15256489,0.012386067,CLAS phi
2.245,0.47,-0.628007987,0.177,0.0133,0.173994752,0.013074182,CLAS phi
2.245,0.53,-0.566971663,0.2373,0.0168,0.23327093,0.016514756,CLAS phi
2.245,0.57,-0.526280781,0.2402,0.0165,0.236121691,0.01621985,CLAS phi
2.245,0.62,-0.475417178,0.3105,0.0215,0.305228081,0.021134956,CLAS phi
2.245,0.67,-0.424553574,0.3361,0.0238,0.330393424,0.023395904,CLAS phi
2.245,0.72,-0.373689971,0.4095,0.0309,0.40254718,0.030375355,CLAS phi
2.245,0.78,-0.312653647,0.4653,0.0356,0.457399762,0.034995555,CLAS phi
2.245,0.82,-0.271962765,0.5587,0.0399,0.549213942,0.039222546,CLAS phi
2.245,0.88,-0.210926441,0.7958,0.0517,0.782288268,0.050822196,CLAS phi
2.245,0.93,-0.160062838,0.7958,0.2147,0.782288268,0.211054651,CLAS phi
2.245,-0.8,-1.919943507,0.0219,0.0069,0.021528164,0.006782846,CLAS phi
2.245,-0.7,-1.818216301,0.0251,0.0056,0.024673832,0.005504919,CLAS phi
2.245,-0.6,-1.716489095,0.0441,0.0066,0.043351235,0.00648794,CLAS phi
2.245,-0.5,-1.614761888,0.0435,0.0063,0.042761422,0.006193034,CLAS phi
2.245,-0.4,-1.513034682,0.0405,0.0056,0.039812358,0.005504919,CLAS phi
2.245,-0.3,-1.411307476,0.039,0.0051,0.038337827,0.005013408,CLAS phi
2.245,-0.2,-1.309580269,0.0482,0.0057,0.047381622,0.005603221,CLAS phi
2.245,-0.1,-1.207853063,0.0463,0.0048,0.045513881,0.004718502,CLAS phi
2.245,0,-1.106125857,0.0573,0.0053,0.056327115,0.005210012,CLAS phi
2.245,0.1,-1.00439865,0.0677,0.0054,0.066550535,0.005308314,CLAS phi
2.245,0.2,-0.902671444,0.0829,0.0059,0.081492457,0.005799825,CLAS phi
2.245,0.3,-0.800944238,0.1153,0.0071,0.113342344,0.00697945,CLAS phi
2.255,0.37,-0.742976666,0.1498,0.0115,0.143675525,0.01102983,CLAS phi
2.255,0.42,-0.690845309,0.1843,0.0132,0.176765015,0.012660327,CLAS phi
2.255,0.47,-0.638713953,0.2087,0.0144,0.200167437,0.013811265,CLAS phi
2.255,0.53,-0.576156325,0.2198,0.015,0.210813621,0.014386735,CLAS phi
2.255,0.57,-0.53445124,0.2752,0.0186,0.263948628,0.017839551,CLAS phi
